coder1,coder2,coder3,screen_name_tweets,fullname,text,timestamp,following,followers,num_tweets,location,num_likes,id,date_joined,num_days_joined,days_on_twitter
1,1,1,trueman98587845,trueman,สู้ๆ นะครับ เป็นกำลังใจให้ เจ้าหน้าที่ทุกคน มันเหนื่อยจริงๆ #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาส,2020-01-28 13:27:29,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"เพื่อรักษา และ ระวังป้องกัน เจ้าหน้าที่รัฐ ผมดูว่าพร้อมครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 15:58:04,36,22,2673,,770,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86
1,1,1,daengbile436,แดง ไบเล่,"ข่าวปลอม  ไม่จริง ไม่ควรแชร์ต่อ
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/daengbile436/status/1222364340273041409 …",2020-01-29 3:46:25,38,5,1234,,21,1219487869049307136,2020-01-20 21:12:00,37 days 02:48:00.000000000,37
1,1,1,trueman98587845,trueman,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ จุดแสกนคัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย ด้วยรักและห่วงใย #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-01-31 3:22:40,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,thaiprong,รวมใจไทยปรองดอง,"ขอร้องทุกคนช่วยเสพสื่ออย่างมีสติ อย่าแชร์ข่าวปลอม เพราะจะสร้างความตื่นตระหนกให้กับคนไทย ซึ่งรัฐบาล ไทยได้เตรียมความพร้อมรับสถานการณ์การระบาดของไวรัสโคโรนาไว้แล้ว #ไวรัสโคโรนาสายพันธุ์ใหม่2019
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/suchartonly/status/1221766595925536768 …",2020-01-28 8:28:56,304,99,78,,395,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65
1,1,1,trueman98587845,trueman,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ จุดแสกนคัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย ด้วยรักและห่วงใย #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนกhttps://twitter.com/armypr_news/status/1222899107930333187 …,2020-01-31 3:22:46,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,trueman98587845,trueman,ต้องบอกว่ารัฐพยายามประชาสัมพันธ์ให้ผู้คนเกิดความตื่นตัวในการป้องกันไวรัส #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก สธ.ต้องเร็วต่อข่าวสารคิดว่า แถลงตอนเย็น ไม่พอ ท่านต้องพยายาม ออกสัก 3 เวลา ผู้คนจะได้อุ่นใจ,2020-01-31 3:27:51,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ผมประชาชนคนหนึ่ง จดจำในสิ่งที่ เจ้าหน้ารัฐทำ คือการช่วยเหลือประชาชน อย่างเสียสละ พร้มทั้งห่วงใยใส่ใจสุขภาพ ผู้ที่เดินทางมาที่เมืองไทยครับครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:10:57,36,22,2673,,770,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86
1,1,1,tawannak32,ทวารหนัก,"ข่าวปลอมครับ
ใช้วิจารณญาณในการวิเคราะห์ด้วยน่ะครับ
ควรเชื่อแหล่งข่าวที่เชื่อถือได้
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอมhttps://twitter.com/AFNCThailand/status/1222688151975579648 …",2020-01-30 13:34:49,34,5,107,,8,1212927650873786368,2020-01-02 18:44:00,55 days 05:16:00.000000000,55
1,1,1,trueman98587845,trueman,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ จุดแสกนคัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย ด้วยรักและห่วงใย #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-01-30 3:14:39,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"เพื่อรักษา และ ระวังป้องกัน เจ้าหน้าที่รัฐ ผมดูว่าพร้อมครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 15:58:04,36,22,2673,,770,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86
0,0,1,8eepMREvdoDjIcs,ศักดิ์สิทธิ์,"ข้อมูลดีๆ
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก",2020-02-06 2:49:38,86,2,663,,328,1224184616346509312,2020-02-02 20:15:00,24 days 03:45:00.000000000,24
1,1,1,KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"งานที่ทำ ดังกว่าคำที่พูด 
เจ้าหน้าที่รัฐได้พิสูจน์ ให้เห็น ว่าท่าน ตั้งใจในการแก้ปัญหา
แต่คนที่มองอย่างอคติ ก็ดูเป็นลบเสมอ
ผมเห็นเจ้าหน้ารัฐ ตั้งใจปฏิบัติหน้าที่ และ ใส่ใจในปัญหา ครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:53:41,36,22,2673,,770,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86
0,1,1,8eepMREvdoDjIcs,ศักดิ์สิทธิ์,"เป็นกำลังใจให้ทุกท่าน
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก",2020-02-06 2:45:40,86,2,663,,328,1224184616346509312,2020-02-02 20:15:00,24 days 03:45:00.000000000,24
0,1,1,jay96599246,jay,ทหารของประชาชน #รัฐบาลเตรียมพร้อม,2020-02-01 5:47:12,145,7,256,,110,1202832347541884928,2019-12-05 22:09:00,83 days 01:51:00.000000000,83
0,0,1,8eepMREvdoDjIcs,ศักดิ์สิทธิ์,"หาข้อมูลที่ถูกต้อง
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก",2020-02-06 2:38:45,86,2,663,,328,1224184616346509312,2020-02-02 20:15:00,24 days 03:45:00.000000000,24
1,1,1,KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"เราประชาชน คนไทยด้วยกัน ต้องช่วยกันประชาสัมพันธ์ เกี่ยวกับเรื่องนี้ด้วยนะครับ อย่าปล่อยให้เป็นหน้าที่ของใครคนหนึ่ง หรือหน่วยงานใด หน่วยงานหนึ่ง
#รัฐบาลเตรียมพร้อม
#ทหารเป็นที่พึ่งของประชาชน",2020-02-03 16:50:25,36,22,2673,,770,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86
1,1,1,8eepMREvdoDjIcs,ศักดิ์สิทธิ์,"ทำงานกันเป็นระบบดีมาก
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก",2020-02-06 2:41:30,86,2,663,,328,1224184616346509312,2020-02-02 20:15:00,24 days 03:45:00.000000000,24
1,1,1,trueman98587845,trueman,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ จุดแสกนคัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย ด้วยรักและห่วงใย #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-01-30 2:57:22,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,daengbile436,แดง ไบเล่,"ข่าวปลอม  ไม่จริง ไม่ควรแชร์ต่อ
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/daengbile436/status/1222364408329850881 …",2020-01-29 3:46:32,38,5,1234,,21,1219487869049307136,2020-01-20 21:12:00,37 days 02:48:00.000000000,37
1,1,1,trueman98587845,trueman,ต้องบอกว่ารัฐพยายามประชาสัมพันธ์ให้ผู้คนเกิดความตื่นตัวในการป้องกันไวรัส ขอบคุณกองทัพบกที่พยายามประชาสัมพันธ์ให้คนไทยได้รับรู้มากขึ้น #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-01-29 6:11:21,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,trueman98587845,trueman,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ จุดแสกนคัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย ด้วยรักและห่วงใย #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนกhttps://twitter.com/armypr_news/status/1222710486862462976 …,2020-01-30 3:14:44,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
0,0,1,napoly001,Napoly001,"ขอให้ทุกคนเสพสื่ออย่างมีสติ อย่าแชร์ข่าวปลอม เพราะจะสร้างความตื่นตระหนกให้กับคนไทย ซึ่งรัฐบาล ไทยได้เตรียมความพร้อมรับสถานการณ์การระบาดของไวรัสโคโรนาไว้แล้วนะครับ #เชื่อมั่นรัฐบาล
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกpic.twitter.com/Siy0Q95WYJ",2020-01-28 8:11:49,247,53,119,,538,1203954074435014656,2019-12-09 00:26:00,79 days 23:34:00.000000000,79
1,1,1,trueman98587845,trueman,และจีนก็กลัวว่าขนกลับมามาแพร่เชื้อ จีนโดนด่าอีก ปล่อยไปได้ไง จะมีแต่พวก ออกมารัวๆ อ้าง ว่ามีคนอยากกลับบ้าน #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาสhttps://twitter.com/Itsara_Th/status/1222125603253440513 …,2020-01-28 12:36:36,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,trueman98587845,trueman,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ จุดแสกนคัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย ด้วยรักและห่วงใย #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนกhttps://twitter.com/armypr_news/status/1222710486862462976 …,2020-01-30 3:14:44,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,trueman98587845,trueman,สู้ๆ นะครับ เป็นกำลังใจให้ เจ้าหน้าที่ทุกคน มันเหนื่อยจริงๆ #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาส,2020-01-28 13:27:29,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,daengbile436,แดง ไบเล่,"ข่าวปลอม  ไม่จริง ไม่ควรแชร์ต่อ
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/daengbile436/status/1222364604774273024 …",2020-01-29 3:46:46,38,5,1234,,21,1219487869049307136,2020-01-20 21:12:00,37 days 02:48:00.000000000,37
1,1,1,thaiprong,รวมใจไทยปรองดอง,"อีกด้านหนึ่งของสังคมไทย ที่ได้มองเห็นแล้วก็รู้สึกได้ว่า #แผ่นดินไทยไม่สิ้นคนดี ฉะนั้นเรามาร่วมใจกันสรา้งสังคมให้น่าอยู่ดีกว่าไหม. #ไวรัสโคโรนาสายพันธุ์ใหม่2019
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/onenews31/status/1221816691409084418 …",2020-01-28 8:26:36,304,99,78,,395,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65
1,1,1,8eepMREvdoDjIcs,ศักดิ์สิทธิ์,"เป็นกำลังใจให้คนทำงาน
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก",2020-02-06 2:40:45,86,2,663,,328,1224184616346509312,2020-02-02 20:15:00,24 days 03:45:00.000000000,24
1,1,1,daengbile436,แดง ไบเล่,"ข่าวปลอม  ไม่จริง ไม่ควรแชร์ต่อ
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/daengbile436/status/1222364408329850881 …",2020-01-29 3:46:32,38,5,1234,,21,1219487869049307136,2020-01-20 21:12:00,37 days 02:48:00.000000000,37
0,0,1,jay96599246,jay,ทหารของประชาชน #รัฐบาลเตรียมพร้อม,2020-02-01 5:47:12,145,7,256,,110,1202832347541884928,2019-12-05 22:09:00,83 days 01:51:00.000000000,83
1,1,1,trueman98587845,trueman,ต้องบอกว่ารัฐพยายามประชาสัมพันธ์ให้ผู้คนเกิดความตื่นตัวในการป้องกันไวรัส #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก สธ.ต้องเร็วต่อข่าวสารคิดว่า แถลงตอนเย็น ไม่พอ ท่านต้องพยายาม ออกสัก 3 เวลา ผู้คนจะได้อุ่นใจ,2020-01-31 3:27:51,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,0,1,8eepMREvdoDjIcs,ศักดิ์สิทธิ์,"หาข้อมูลที่ถูกต้อง
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก",2020-02-06 2:38:45,86,2,663,,328,1224184616346509312,2020-02-02 20:15:00,24 days 03:45:00.000000000,24
1,1,1,KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"เจ้าหน้าที่รัฐ ทุ่มเท ให้การทำหน้าที่ ขอชื่นชมครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:24:12,36,22,2673,,770,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86
1,1,1,KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ผมประชาชนคนหนึ่ง จดจำในสิ่งที่ เจ้าหน้ารัฐทำ คือการช่วยเหลือประชาชน อย่างเสียสละ พร้มทั้งห่วงใยใส่ใจสุขภาพ ผู้ที่เดินทางมาที่เมืองไทยครับครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:10:57,36,22,2673,,770,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86
1,0,1,thaiprong,รวมใจไทยปรองดอง," ข่าวดี!! แพทย์ราชวิถี รักษาผู้ป่วยโคโรนา อาการดีขึ้นภายใน 48 ชั่วโมง
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอม
https://www.facebook.com/thaiprong2019/?modal=admin_todo_tour …pic.twitter.com/Pw1pg2ABZf",2020-02-02 15:15:13,304,99,78,,395,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65
1,1,1,8eepMREvdoDjIcs,ศักดิ์สิทธิ์,"เป็นกำลังใจให้คนทำงาน
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก",2020-02-06 2:40:45,86,2,663,,328,1224184616346509312,2020-02-02 20:15:00,24 days 03:45:00.000000000,24
1,1,1,8eepMREvdoDjIcs,ศักดิ์สิทธิ์,"ตามข่าวอยู่เรื่อยๆครับ
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ",2020-02-06 2:48:11,86,2,663,,328,1224184616346509312,2020-02-02 20:15:00,24 days 03:45:00.000000000,24
1,1,1,trueman98587845,trueman,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ จุดแสกนคัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย ด้วยรักและห่วงใย #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนกhttps://twitter.com/DrNarumonP/status/1222430531364638721 …,2020-01-30 2:57:37,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,thaiprong,รวมใจไทยปรองดอง,"ขอร้องทุกคนช่วยเสพสื่ออย่างมีสติ อย่าแชร์ข่าวปลอม เพราะจะสร้างความตื่นตระหนกให้กับคนไทย ซึ่งรัฐบาล ไทยได้เตรียมความพร้อมรับสถานการณ์การระบาดของไวรัสโคโรนาไว้แล้ว #ไวรัสโคโรนาสายพันธุ์ใหม่2019
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/suchartonly/status/1221766595925536768 …",2020-01-28 8:28:56,304,99,78,,395,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65
1,1,1,thaiprong,รวมใจไทยปรองดอง,"ทหารเป็นได้ทุกอย่าจริงๆ #ไวรัสโคโรนาสายพันธุ์ใหม่2019
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/armypr_news/status/1222067491024715776 …",2020-01-28 8:19:02,304,99,78,,395,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65
1,1,1,trueman98587845,trueman,สู้ๆ นะครับ เป็นกำลังใจให้ เจ้าหน้าที่ทุกคน มันเหนื่อยจริงๆ #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาสhttps://twitter.com/armypr_news/status/1222067491024715776 …,2020-01-28 13:27:34,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,thaiprong,รวมใจไทยปรองดอง," อัปเดตไวรัส ""โคโรนา"" ประจำวันที่ 1 ก.พ. 63 ในไทย
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอมpic.twitter.com/whYrkYzGEI",2020-02-01 15:34:33,304,99,78,,395,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65
1,1,1,KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ดูข่าวให้ดี อย่าเชื่อข่าวปลอม แล้วค่อยมาแสดงึวาทคิดเห็นนะครับ
#รัฐบาลเตรียมพร้อม",2020-02-02 17:52:19,36,22,2673,,770,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86
1,1,1,thaiprong,รวมใจไทยปรองดอง," อัปเดตไวรัส ""โคโรนา"" ประจำวันที่ 1 ก.พ. 63 ในไทย
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอมpic.twitter.com/whYrkYzGEI",2020-02-01 15:34:33,304,99,78,,395,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65
1,1,1,trueman98587845,trueman,คุณหญิง แมร่งออกตัวแรงตั้งแต่ ข่าว Fake ละสร้างสถานการณ์ได้แบบมีคนเชื่อด้วยนะ อันที่จริงแมร่งน่าจะร่วมมือกันระหว่างฝ่ายค้านกับรัฐบาลทำงาน นี่อะไรด่ากันไปด่ากันมา #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาสhttps://twitter.com/ThaksinsLife/status/1222118721457549313 …,2020-01-28 13:00:55,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,daengbile436,แดง ไบเล่,"ข่าวปลอม  ไม่จริง ไม่ควรแชร์ต่อ
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/daengbile436/status/1222364659434418177 …",2020-01-29 3:46:55,38,5,1234,,21,1219487869049307136,2020-01-20 21:12:00,37 days 02:48:00.000000000,37
1,1,1,tawannak32,ทวารหนัก,"ข่าวปลอมครับ
ใช้วิจารณญาณในการวิเคราะห์ด้วยน่ะครับ
ควรเชื่อแหล่งข่าวที่เชื่อถือได้
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอมhttps://twitter.com/AFNCThailand/status/1222688151975579648 …",2020-01-30 13:34:49,34,5,107,,8,1212927650873786368,2020-01-02 18:44:00,55 days 05:16:00.000000000,55
